Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
codbt342,0.00471,0.00021,0.00109,0.00148,0.18483,0.18592,0.19323,648 (-647),648 (-647)
codbt451,0.01018,0.00071,0.00083,0.00521,39.61115,39.61198,39.62988,3888 (-3887),3888 (-3887)
codbt452,0.05061,0.00137,0.00059,0.01132,34.93092,34.93151,35.00152,3888 (-3887),3888 (-3887)
codbt453,0.14509,0.00457,0.00093,0.02452,46.03921,46.04014,46.23433,3888 (-3887),3888 (-3887)
codbt511,0.00017,0.00004,0.00085,0.00007,0.00182,0.00267,0.00313,96 (-95),96 (-95)
codbt512,0.00025,0.00003,0.00045,0.00007,0.00180,0.00225,0.00272,96 (-95),96 (-95)
codbt521,0.00050,0.00005,0.00050,0.00028,0.00942,0.00992,0.01094,288 (-287),288 (-287)
codbt522,0.00141,0.00007,0.00085,0.00037,0.02552,0.02637,0.02855,288 (-287),288 (-287)
codbt531,0.00183,0.00013,0.00104,0.00087,0.15218,0.15322,0.15643,864 (-863),864 (-863)
codbt532,0.00631,0.00028,0.00098,0.00184,0.38526,0.38624,0.39612,864 (-863),864 (-863)
codbt711,0.00078,0.00008,0.00087,0.00055,0.01873,0.01959,0.02126,384 (-383),384 (-383)
codbt712,0.00255,0.00016,0.00083,0.00065,0.02983,0.03067,0.03450,384 (-383),384 (-383)
codbt721,0.00318,0.00020,0.00079,0.00223,0.51435,0.51513,0.52154,1152 (-1151),1152 (-1151)
codbt722,0.01105,0.00061,0.00130,0.00276,0.73978,0.74109,0.75737,1152 (-1151),1152 (-1151)
codbt731,0.01037,0.00061,0.00097,0.00565,10.84192,10.84290,10.86120,3456 (-3455),3456 (-3455)
codbt732,0.03987,0.00124,0.00063,0.00902,20.15886,20.15949,20.21519,3456 (-3455),3456 (-3455)
codbt811,0.00159,0.00012,0.00076,0.00133,0.06882,0.06957,0.07303,768 (-767),768 (-767)
codbt812,0.00612,0.00025,0.00101,0.00156,0.20948,0.21049,0.21940,768 (-767),768 (-767)
codbt821,0.00597,0.00089,0.00081,0.00430,3.62524,3.62606,3.63844,2304 (-2303),2304 (-2303)
codbt822,0.02318,0.00062,0.00068,0.00645,5.82747,5.82815,5.86165,2304 (-2303),2304 (-2303)
codbt831,0.02194,0.00131,0.00069,0.01235,106.86725,106.86794,106.90697,6912 (-6911),6912 (-6911)
codbt832,0.09153,0.00354,0.00071,0.02100,260.41147,260.41218,260.54094,6912 (-6911),6912 (-6911)
cov1052,0.00037,0.00005,0.00101,0.00018,0.00243,0.00344,0.00420,252 (-251),45 (-44)
cov1053,0.00049,0.00005,0.00076,0.00025,0.00596,0.00672,0.00770,252 (-251),120 (-119)
cov1054,0.00033,0.00007,0.00124,0.00026,0.00559,0.00683,0.00769,252 (-251),210 (-209)
cov1063,0.00067,0.00006,0.00079,0.00027,0.00679,0.00758,0.00879,210 (-209),120 (-119)
cov1064,0.00054,0.00005,0.00119,0.00024,0.00816,0.00936,0.01036,210 (-209),210 (-209)
cov1065,0.00025,0.00005,0.00072,0.00021,0.00411,0.00482,0.00552,210 (-209),252 (-251)
cov1074,0.00071,0.00004,0.00086,0.00019,0.00485,0.00571,0.00705,120 (-119),210 (-209)
cov1075,0.00041,0.00005,0.00069,0.00012,0.00329,0.00397,0.00476,120 (-119),252 (-251)
cov1076,0.00019,0.00004,0.00073,0.00009,0.00150,0.00223,0.00276,120 (-119),210 (-209)
cov1163,0.00163,0.00008,0.00149,0.00053,0.01207,0.01356,0.01616,462 (-461),165 (-164)
cov1164,0.00106,0.00008,0.00098,0.00043,0.02513,0.02612,0.02802,462 (-461),330 (-329)
cov1165,0.00066,0.00009,0.00070,0.00060,0.01729,0.01799,0.01958,462 (-461),462 (-461)
cov1174,0.00190,0.00009,0.00115,0.00045,0.02162,0.02277,0.02558,330 (-329),330 (-329)
cov1175,0.00130,0.00010,0.00096,0.00060,0.01720,0.01816,0.02043,330 (-329),462 (-461)
cov1176,0.00045,0.00010,0.00064,0.00035,0.00990,0.01054,0.01165,330 (-329),462 (-461)
cov1185,0.00187,0.00008,0.00095,0.00047,0.01016,0.01111,0.01395,165 (-164),462 (-461)
cov1186,0.00082,0.00006,0.00109,0.00085,0.00611,0.00721,0.00922,165 (-164),462 (-461)
cov1187,0.00037,0.00005,0.00111,0.00032,0.00213,0.00324,0.00417,165 (-164),330 (-329)
cov1274,0.00478,0.00024,0.00092,0.00134,0.16319,0.16411,0.17129,792 (-791),495 (-494)
cov1275,0.00249,0.00018,0.00096,0.00109,0.17661,0.17757,0.18185,792 (-791),792 (-791)
cov1276,0.00122,0.00015,0.00090,0.00142,0.05120,0.05209,0.05531,792 (-791),924 (-923)
cov1285,0.00470,0.00023,0.00104,0.00125,0.05717,0.05821,0.06519,495 (-494),792 (-791)
cov1286,0.00220,0.00015,0.00089,0.00106,0.03841,0.03930,0.04323,495 (-494),924 (-923)
cov1287,0.00109,0.00010,0.00082,0.00112,0.01121,0.01203,0.01464,495 (-494),792 (-791)
cov1296,0.00255,0.00012,0.00106,0.00070,0.01356,0.01462,0.01863,220 (-219),924 (-923)
