Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
codbt451,0.00968,0.00065,0.00082,0.00290,26.08508,26.08589,26.10073,3888 (-3887),3888 (-3887)
codbt452,0.04778,0.00140,0.00073,0.00635,86.22453,86.22526,86.28605,3888 (-3887),3888 (-3887)
codbt453,0.14870,0.00335,0.00082,0.02131,46.30382,46.30464,46.49765,3888 (-3887),3888 (-3887)
codbt511,0.00017,0.00004,0.00079,0.00006,0.00140,0.00219,0.00264,96 (-95),96 (-95)
codbt512,0.00027,0.00004,0.00092,0.00008,0.00170,0.00262,0.00319,96 (-95),96 (-95)
codbt521,0.00047,0.00006,0.00081,0.00017,0.01134,0.01215,0.01304,288 (-287),288 (-287)
codbt522,0.00122,0.00008,0.00078,0.00026,0.02257,0.02335,0.02520,288 (-287),288 (-287)
codbt531,0.00167,0.00012,0.00083,0.00047,0.20128,0.20211,0.20474,864 (-863),864 (-863)
codbt532,0.00582,0.00025,0.00093,0.00082,0.53024,0.53117,0.53901,864 (-863),864 (-863)
codbt711,0.00073,0.00008,0.00098,0.00022,0.02532,0.02630,0.02753,384 (-383),384 (-383)
codbt712,0.00219,0.00012,0.00092,0.00036,0.03315,0.03407,0.03722,384 (-383),384 (-383)
codbt721,0.00243,0.00017,0.00102,0.00061,0.33291,0.33393,0.33766,1152 (-1151),1152 (-1151)
codbt722,0.00770,0.00038,0.00095,0.00101,1.22280,1.22375,1.23416,1152 (-1151),1152 (-1151)
codbt731,0.01154,0.00087,0.00123,0.00479,15.41906,15.42029,15.43956,3456 (-3455),3456 (-3455)
codbt732,0.03795,0.00132,0.00075,0.01348,20.26084,20.26159,20.32013,3456 (-3455),3456 (-3455)
codbt811,0.00151,0.00013,0.00092,0.00043,0.11585,0.11677,0.11917,768 (-767),768 (-767)
codbt812,0.00458,0.00024,0.00092,0.00063,0.23529,0.23621,0.24251,768 (-767),768 (-767)
codbt821,0.00532,0.00036,0.00082,0.00205,3.53164,3.53246,3.54117,2304 (-2303),2304 (-2303)
codbt822,0.02026,0.00068,0.00058,0.00356,4.99328,4.99386,5.02128,2304 (-2303),2304 (-2303)
codbt831,0.01971,0.00116,0.00062,0.00910,93.03110,93.03172,93.06495,6912 (-6911),6912 (-6911)
codbt832,0.09093,0.00230,0.00070,0.01738,202.00290,202.00360,202.12502,6912 (-6911),6912 (-6911)
cov1052,0.00038,0.00005,0.00075,0.00013,0.00418,0.00492,0.00572,252 (-251),45 (-44)
cov1053,0.00040,0.00005,0.00091,0.00012,0.00564,0.00655,0.00727,252 (-251),120 (-119)
cov1054,0.00032,0.00007,0.00100,0.00015,0.00486,0.00586,0.00657,252 (-251),210 (-209)
cov1063,0.00066,0.00005,0.00078,0.00015,0.00725,0.00802,0.00907,210 (-209),120 (-119)
cov1064,0.00044,0.00005,0.00090,0.00013,0.00681,0.00771,0.00848,210 (-209),210 (-209)
cov1065,0.00027,0.00005,0.00097,0.00016,0.00403,0.00500,0.00566,210 (-209),252 (-251)
cov1074,0.00056,0.00005,0.00088,0.00012,0.00369,0.00457,0.00555,120 (-119),210 (-209)
cov1075,0.00038,0.00005,0.00098,0.00011,0.00277,0.00375,0.00451,120 (-119),252 (-251)
cov1076,0.00017,0.00005,0.00074,0.00010,0.00149,0.00223,0.00274,120 (-119),210 (-209)
