Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions),Columns Reduced (%),Rows Reduced (%)
cov15129,0.02,0.00,0.00,0.01,0.11,0.11,0.15,455 (-454),5005 (-5004),1.00,1.00
cov161110,0.02,0.00,0.00,0.01,2.45,2.45,2.48,4368 (-4367),8008 (-8007),1.00,1.00
cov16118,0.15,0.01,0.00,0.04,50.53,50.53,50.77,4368 (-4367),12870 (-12869),1.00,1.00
cov16119,0.06,0.00,0.00,0.02,21.60,21.60,21.69,4368 (-4367),11440 (-11439),1.00,1.00
cov161210,0.03,0.00,0.00,0.01,1.13,1.13,1.18,1820 (-1819),8008 (-8007),1.00,1.00
cov161211,0.01,0.00,0.00,0.01,0.18,0.18,0.20,1820 (-1819),4368 (-4367),1.00,1.00
cov16129,0.09,0.00,0.00,0.03,3.35,3.36,3.49,1820 (-1819),11440 (-11439),1.00,1.00
cov161310,0.03,0.00,0.00,0.02,0.18,0.18,0.24,560 (-559),8008 (-8007),1.00,1.00
cov161311,0.01,0.00,0.00,0.01,0.07,0.07,0.09,560 (-559),4368 (-4367),1.00,1.00
cov161312,0.00,0.00,0.00,0.00,0.02,0.02,0.03,560 (-559),1820 (-1819),1.00,1.00
cov171210,0.10,0.01,0.00,0.04,65.41,65.41,65.58,6188 (-6187),19448 (-19447),1.00,1.00
cov171211,0.03,0.00,0.00,0.02,4.29,4.29,4.36,6188 (-6187),12376 (-12375),1.00,1.00
cov17129,0.30,0.01,0.00,0.08,326.24,326.24,326.69,6188 (-6187),24310 (-24309),1.00,1.00
cov171310,0.17,0.01,0.00,0.05,8.49,8.49,8.75,2380 (-2379),19448 (-19447),1.00,1.00
cov171311,0.04,0.00,0.00,0.02,2.51,2.51,2.59,2380 (-2379),12376 (-12375),1.00,1.00
cov171312,0.01,0.00,0.00,0.01,0.27,0.27,0.30,2380 (-2379),6188 (-6187),1.00,1.00
cov171411,0.05,0.00,0.00,0.03,0.31,0.31,0.41,680 (-679),12376 (-12375),1.00,1.00
cov171412,0.01,0.00,0.00,0.01,0.09,0.09,0.13,680 (-679),6188 (-6187),1.00,1.00
cov171413,0.00,0.00,0.00,0.01,0.03,0.03,0.04,680 (-679),2380 (-2379),1.00,1.00
sts243,0.00,0.00,0.00,0.00,0.02,0.02,0.03,243 (-242),9801 (-9800),1.00,1.00
sts45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45 (-44),330 (-329),0.98,1.00
sts63,0.00,0.00,0.00,0.00,0.00,0.01,0.01,63 (-62),651 (-650),0.98,1.00
sts729,0.04,0.01,0.00,0.03,0.38,0.38,0.48,729 (-728),88452 (-88451),1.00,1.00
sts81,0.00,0.00,0.00,0.00,0.00,0.00,0.01,81 (-80),1080 (-1079),0.99,1.00
