Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cov161210,0.02519,0.00121,0.00096,0.01323,0.95565,0.95660,1.00059,1820 (-1819),8008 (-8007)
cov161211,0.00724,0.00088,0.00182,0.00887,0.18043,0.18225,0.20115,1820 (-1819),4368 (-4367)
cov16129,0.06423,0.00180,0.00087,0.02262,2.34037,2.34123,2.44036,1820 (-1819),11440 (-11439)
cov161310,0.02805,0.00090,0.00058,0.01334,0.12651,0.12709,0.17474,560 (-559),8008 (-8007)
cov161311,0.00922,0.00053,0.00090,0.00707,0.04935,0.05025,0.06951,560 (-559),4368 (-4367)
cov161312,0.00187,0.00015,0.00061,0.00346,0.01435,0.01497,0.02115,560 (-559),1820 (-1819)
cov171210,0.07957,0.00290,0.00064,0.03561,38.37635,38.37699,38.50747,6188 (-6187),19448 (-19447)
cov171211,0.01977,0.00174,0.00078,0.02095,3.40705,3.40784,3.45479,6188 (-6187),12376 (-12375)
cov17129,0.21271,0.00565,0.00074,0.05310,224.16371,224.16445,224.46556,6188 (-6187),24310 (-24309)
cov171310,0.11278,0.00266,0.00077,0.03973,6.16164,6.16241,6.33449,2380 (-2379),19448 (-19447)
cov171311,0.03429,0.00137,0.00061,0.02038,1.96212,1.96273,2.02508,2380 (-2379),12376 (-12375)
cov171312,0.00849,0.00072,0.00084,0.01150,0.25650,0.25735,0.28021,2380 (-2379),6188 (-6187)
cov171411,0.05251,0.00285,0.00127,0.02634,0.25545,0.25672,0.34772,680 (-679),12376 (-12375)
cov171412,0.01542,0.00093,0.00124,0.01253,0.09162,0.09286,0.12550,680 (-679),6188 (-6187)
cov171413,0.00316,0.00026,0.00136,0.00622,0.02164,0.02300,0.03389,680 (-679),2380 (-2379)
sts243,0.00360,0.00089,0.00134,0.00374,0.02232,0.02365,0.03386,243 (-242),9801 (-9800)
sts45,0.00018,0.00005,0.00116,0.00020,0.00228,0.00344,0.00413,45 (-44),330 (-329)
sts63,0.00031,0.00007,0.00108,0.00034,0.00255,0.00363,0.00474,63 (-62),651 (-650)
sts729,0.02383,0.00469,0.00083,0.02776,0.28333,0.28416,0.35224,729 (-728),88452 (-88451)
sts81,0.00043,0.00011,0.00083,0.00043,0.00235,0.00318,0.00445,81 (-80),1080 (-1079)
