Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cov161110,0.01024,0.00069,0.00039,0.00796,1.84472,1.84511,1.86600,4368 (-4367),8008 (-8007)
cov16118,0.10586,0.00270,0.00038,0.01751,51.67251,51.67289,51.81072,4368 (-4367),12870 (-12869)
cov16119,0.04374,0.00161,0.00055,0.01668,14.62473,14.62528,14.69377,4368 (-4367),11440 (-11439)
cov161210,0.01796,0.00083,0.00035,0.00432,1.13099,1.13133,1.15698,1820 (-1819),8008 (-8007)
cov161211,0.00469,0.00034,0.00047,0.00209,0.11192,0.11240,0.12042,1820 (-1819),4368 (-4367)
cov16129,0.05898,0.00177,0.00039,0.00907,3.56220,3.56259,3.63828,1820 (-1819),11440 (-11439)
cov161310,0.02246,0.00072,0.00051,0.00306,0.16308,0.16359,0.19309,560 (-559),8008 (-8007)
cov161311,0.00701,0.00036,0.00038,0.00132,0.08084,0.08122,0.09097,560 (-559),4368 (-4367)
cov161312,0.00157,0.00014,0.00036,0.00054,0.01254,0.01290,0.01547,560 (-559),1820 (-1819)
cov171210,0.07035,0.00223,0.00044,0.02511,36.58713,36.58757,36.69511,6188 (-6187),19448 (-19447)
cov171211,0.01609,0.00102,0.00042,0.01354,2.22210,2.22252,2.25655,6188 (-6187),12376 (-12375)
cov17129,0.25527,0.00561,0.00061,0.06265,176.05368,176.05429,176.40651,6188 (-6187),24310 (-24309)
cov171310,0.11120,0.01511,0.00043,0.01754,10.16497,10.16539,10.32649,2380 (-2379),19448 (-19447)
cov171311,0.03082,0.00120,0.00036,0.00652,2.96529,2.96565,3.00872,2380 (-2379),12376 (-12375)
cov171312,0.00626,0.00047,0.00034,0.00256,0.20569,0.20603,0.21656,2380 (-2379),6188 (-6187)
cov171411,0.03558,0.00140,0.00037,0.00477,0.28660,0.28697,0.33346,680 (-679),12376 (-12375)
cov171412,0.00986,0.00046,0.00037,0.00181,0.17326,0.17363,0.18726,680 (-679),6188 (-6187)
cov171413,0.00190,0.00022,0.00041,0.00068,0.01706,0.01747,0.02072,680 (-679),2380 (-2379)
sts243,0.00219,0.00058,0.00041,0.00242,0.01432,0.01473,0.02105,243 (-242),9801 (-9800)
sts45,0.00012,0.00004,0.00028,0.00008,0.00052,0.00080,0.00115,45 (-44),330 (-329)
sts63,0.00024,0.00006,0.00031,0.00018,0.00123,0.00154,0.00226,63 (-62),651 (-650)
sts729,0.02057,0.00396,0.00043,0.02462,0.27830,0.27873,0.33717,729 (-728),88452 (-88451)
sts81,0.00035,0.00010,0.00040,0.00031,0.00143,0.00183,0.00281,81 (-80),1080 (-1079)
